# Channel	Signal	X(mm)	Y(mm)	Z(mm)	Phi(rad)	Theta(rad)
295	0	85.4556	84.6756	963.064	0.713724	0.130335
296	0	79.3714	95.1502	962.548	0.713724	0.130335
297	0	67.2911	95.2011	963.58	0.713724	0.130335
298	0	61.295	84.7774	965.127	0.713724	0.130335
299	0	67.3793	74.3029	965.643	0.713724	0.130335
300	0	79.4595	74.252	964.611	0.713724	0.130335
301	0	48.9085	105.873	963.488	0.43275	0.135647
302	2.64873	61.0132	105.831	962.8	0.43275	0.135647
303	0.263727	54.9241	116.272	961.855	0.43275	0.135647
304	0.41279	42.8194	116.315	962.543	0.43275	0.135647
305	0	36.8037	105.915	964.176	0.43275	0.135647
306	5.84786	42.8928	95.4738	965.121	0.43275	0.135647
307	0	54.9976	95.4314	964.433	0.43275	0.135647
308	0	24.4319	126.952	961.665	0.190126	0.150476
309	0	36.5514	126.926	961.321	0.190126	0.150476
310	0	30.4696	137.325	959.947	0.190126	0.150476
311	0	18.3501	137.35	960.291	0.190126	0.150476
312	0	12.3124	126.977	962.008	0.190126	0.150476
313	2.98126	18.3942	116.579	963.382	0.190126	0.150476
314	0	30.5136	116.554	963.039	0.190126	0.150476
315	0	-6.11981	116.463	963.488	-0.0524989	0.135647
316	0.573319	6.00424	116.469	963.574	-0.0524989	0.135647
317	0	-0.052733	126.87	962.113	-0.0524989	0.135647
318	0	-12.1768	126.864	962.027	-0.0524989	0.135647
319	0	-18.2439	116.457	963.402	-0.0524989	0.135647
320	0	-12.1869	106.057	964.863	-0.0524989	0.135647
321	0	-0.0628417	106.062	964.949	-0.0524989	0.135647
322	1.07784	-36.6877	105.908	964.096	-0.333473	0.130335
323	0	-24.5743	105.94	964.611	-0.333473	0.130335
324	0	-30.6034	116.345	963.064	-0.333473	0.130335
325	0	-42.7168	116.313	962.548	-0.333473	0.130335
326	0	-48.801	105.876	963.58	-0.333473	0.130335
327	0	-42.7719	95.4718	965.127	-0.333473	0.130335
328	14.9636	-30.6585	95.5036	965.643	-0.333473	0.130335
329	0	-67.2345	95.2925	963.488	-0.614447	0.135647
330	0	-55.1472	95.345	964.433	-0.614447	0.135647
331	0	-61.1454	105.754	962.8	-0.614447	0.135647
332	0	-73.2328	105.702	961.855	-0.614447	0.135647
333	0	-79.3219	95.24	962.543	-0.614447	0.135647
334	0	-73.3236	84.8307	964.176	-0.614447	0.135647
335	0	-61.2363	84.8831	965.121	-0.614447	0.135647
336	0	-97.7276	84.6345	961.665	-0.857072	0.150476
337	0	-85.6815	84.7023	963.039	-0.857072	0.150476
338	0	-91.6458	95.1176	961.321	-0.857072	0.150476
339	0	-103.692	95.0498	959.947	-0.857072	0.150476
340	0	-109.774	84.5667	960.291	-0.857072	0.150476
341	0	-103.809	74.1515	962.008	-0.857072	0.150476
342	0	-91.7632	74.2193	963.382	-0.857072	0.150476
343	1.69702	-103.92	52.9317	963.488	-1.0997	0.135647
344	0	-91.8841	52.9768	964.949	-1.0997	0.135647
345	0	-97.8631	63.4344	963.574	-1.0997	0.135647
346	10.8587	-109.899	63.3893	962.113	-1.0997	0.135647
347	0	-115.956	52.8867	962.027	-1.0997	0.135647
348	0	-109.977	42.4291	963.402	-1.0997	0.135647
349	6.19185	-97.9411	42.4741	964.863	-1.0997	0.135647
350	2.40794	-110.063	21.1816	964.096	-1.38067	0.130335
351	4.93055	-98.0378	21.2007	965.643	-1.38067	0.130335
352	0	-104.034	31.688	964.611	-1.38067	0.130335
353	0.699449	-116.059	31.6689	963.064	-1.38067	0.130335
354	0	-122.088	21.1625	962.548	-1.38067	0.130335
355	0	-116.092	10.6753	963.58	-1.38067	0.130335
356	4.77002	-104.067	10.6944	965.127	-1.38067	0.130335
357	9.86109	-116.143	-10.5806	963.488	4.62154	0.135647
358	0	-104.129	-10.5906	965.121	4.62154	0.135647
359	5.12547	-110.145	-0.0863931	964.433	4.62154	0.135647
360	0	-122.159	-0.0763305	962.8	4.62154	0.135647
361	0	-128.157	-10.5705	961.855	4.62154	0.135647
362	0	-122.141	-21.0747	962.543	4.62154	0.135647
363	0.321059	-110.127	-21.0848	964.176	4.62154	0.135647
364	0	-122.159	-42.3173	961.665	4.37892	0.150476
365	0	-110.157	-42.3597	963.382	4.37892	0.150476
366	0	-116.195	-31.8512	963.039	4.37892	0.150476
367	0	-128.197	-31.8088	961.321	4.37892	0.150476
368	5.34334	-134.161	-42.2749	959.947	4.37892	0.150476
369	0	-128.124	-52.7834	960.291	4.37892	0.150476
370	0	-116.122	-52.8257	962.008	4.37892	0.150476
371	0	-97.8002	-63.5316	963.488	4.13629	0.135647
372	0	-85.7542	-63.5824	964.863	4.13629	0.135647
373	0	-91.8213	-53.0856	964.949	4.13629	0.135647
374	0	-103.867	-53.0347	963.574	4.13629	0.135647
375	3.25645	-109.846	-63.4807	962.113	4.13629	0.135647
376	0	-103.779	-73.9775	962.027	4.13629	0.135647
377	0	-91.7332	-74.0284	963.402	4.13629	0.135647
378	0	-73.3753	-84.7265	964.096	3.85532	0.130335
379	0	-61.295	-84.7774	965.127	3.85532	0.130335
380	2.51114	-67.3793	-74.3029	965.643	3.85532	0.130335
381	0.263727	-79.4595	-74.252	964.611	3.85532	0.130335
382	0	-85.4556	-84.6756	963.064	3.85532	0.130335
383	0	-79.3714	-95.1502	962.548	3.85532	0.130335
384	0	-67.2911	-95.2011	963.58	3.85532	0.130335
385	0	-48.9085	-105.873	963.488	3.57434	0.135647
386	0	-36.8037	-105.915	964.176	3.57434	0.135647
387	0	-42.8928	-95.4738	965.121	3.57434	0.135647
388	0	-54.9976	-95.4314	964.433	3.57434	0.135647
389	0	-61.0132	-105.831	962.8	3.57434	0.135647
390	3.14179	-54.9241	-116.272	961.855	3.57434	0.135647
391	0.561853	-42.8194	-116.315	962.543	3.57434	0.135647
392	9.59736	-24.4319	-126.952	961.665	3.33172	0.150476
393	9.6203	-12.3124	-126.977	962.008	3.33172	0.150476
394	0	-18.3942	-116.579	963.382	3.33172	0.150476
395	0	-30.5136	-116.554	963.039	3.33172	0.150476
396	0	-36.5514	-126.926	961.321	3.33172	0.150476
397	0	-30.4696	-137.325	959.947	3.33172	0.150476
398	2.93539	-18.3501	-137.35	960.291	3.33172	0.150476
399	0	6.11981	-116.463	963.488	3.08909	0.135647
400	2.22448	18.2439	-116.457	963.402	3.08909	0.135647
401	0	12.1869	-106.057	964.863	3.08909	0.135647
402	0	0.0628417	-106.062	964.949	3.08909	0.135647
403	0	-6.00424	-116.469	963.574	3.08909	0.135647
404	0	0.052733	-126.87	962.113	3.08909	0.135647
405	0	12.1768	-126.864	962.027	3.08909	0.135647
406	0	36.6877	-105.908	964.096	2.80812	0.130335
407	0	48.801	-105.876	963.58	2.80812	0.130335
408	0	42.7719	-95.4718	965.127	2.80812	0.130335
409	0.401323	30.6585	-95.5036	965.643	2.80812	0.130335
410	0	24.5743	-105.94	964.611	2.80812	0.130335
411	0	30.6034	-116.345	963.064	2.80812	0.130335
412	3.53165	42.7168	-116.313	962.548	2.80812	0.130335
413	0	67.2345	-95.2925	963.488	2.52715	0.135647
414	0	79.3219	-95.24	962.543	2.52715	0.135647
415	0	73.3236	-84.8307	964.176	2.52715	0.135647
416	0	61.2363	-84.8831	965.121	2.52715	0.135647
417	3.43992	55.1472	-95.345	964.433	2.52715	0.135647
418	0	61.1454	-105.754	962.8	2.52715	0.135647
419	5.76759	73.2328	-105.702	961.855	2.52715	0.135647
420	0	97.7276	-84.6345	961.665	2.28452	0.150476
421	0	109.774	-84.5667	960.291	2.28452	0.150476
422	0	103.809	-74.1515	962.008	2.28452	0.150476
423	3.03859	91.7632	-74.2193	963.382	2.28452	0.150476
424	0	85.6815	-84.7023	963.039	2.28452	0.150476
425	5.21721	91.6458	-95.1176	961.321	2.28452	0.150476
426	4.75855	103.692	-95.0498	959.947	2.28452	0.150476
427	0	128.122	-73.9495	958.628	2.09427	0.172387
428	0	140.111	-73.8717	956.826	2.09427	0.172387
429	0.53892	134.184	-63.4495	958.627	2.09427	0.172387
430	0	122.194	-63.5273	960.429	2.09427	0.172387
431	0	116.132	-74.0273	960.429	2.09427	0.172387
432	6.36384	122.06	-84.4495	958.628	2.09427	0.172387
433	0	134.049	-84.3717	956.827	2.09427	0.172387
434	0	134.302	-42.2837	959.838	1.87581	0.164
435	1.52503	146.278	-42.2371	957.95	1.87581	0.164
436	0	140.33	-31.7731	959.409	1.87581	0.164
437	0	128.354	-31.8197	961.297	1.87581	0.164
438	0	122.325	-42.3303	961.726	1.87581	0.164
439	0	128.273	-52.7943	960.268	1.87581	0.164
440	0	140.25	-52.7477	958.379	1.87581	0.164
441	7.28115	140.403	-10.5832	959.838	1.64603	0.164
442	0	152.365	-10.571	957.864	1.64603	0.164
443	0.779714	146.394	-0.0778539	958.98	1.64603	0.164
444	1.34157	134.432	-0.0900473	960.954	1.64603	0.164
445	2.70607	128.44	-10.5953	961.812	1.64603	0.164
446	0	134.411	-21.0885	960.696	1.64603	0.164
447	15.9727	146.373	-21.0763	958.723	1.64603	0.164
448	0	146.417	21.1145	958.628	1.42758	0.172387
449	0	158.365	21.0891	956.569	1.42758	0.172387
450	8.187	152.369	31.5987	957.341	1.42758	0.172387
451	11.3632	140.421	31.6241	959.4	1.42758	0.172387
452	0	134.468	21.1399	960.686	1.42758	0.172387
453	4.29989	140.465	10.6304	959.914	1.42758	0.172387
454	0	152.413	10.605	957.855	1.42758	0.172387
455	0	152.355	52.7774	956.203	1.23732	0.18807
456	0	164.289	52.7112	954.061	1.23732	0.18807
457	4.03617	158.265	63.2245	954.49	1.23732	0.18807
458	2.27034	146.331	63.2906	956.632	1.23732	0.18807
459	0.859979	140.422	52.8435	958.345	1.23732	0.18807
460	0	146.446	42.3303	957.917	1.23732	0.18807
